"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"47","Oral nutrition","Inherited metabolic disorder - Protein source","0913205S0","Ready to serve 20g GMP protein equivalent"
"48","Pressure Plates/Shields","Pressure Plates/Shields","2375","Pressure Plates/Shields"
"49","Management of skin conditions","Management of skin conditions","1301010I0","Wool fat hydrous"
"50","Treatment of glaucoma","Treatment of glaucoma","1106000P0","Dorzolamide"
"51","Hypnotics and anxiolytics","Other hypnotics and anxiolytics","0401040A0","Daridorexant"
"52","Vaccines and antisera","Vaccines and antisera","140400060","Haemophilus influenzae/diptheria,tetanus,pertussis vaccine"
"53","Drugs used in rheumatic diseases and gout","Other drugs for rheumatic diseases","1001050B0","Glucosamine sulfate (Rheumatic)"
"54","Antiviral drugs","Viral hepatitis","0503032G0","Paritaprevir/ritonavir/ombitasvir"
"55","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020AD","Fesoterodine fumarate"
"56","Antibacterial drugs","Sulfonamides and trimethoprim","0501080V0","Sulfapyridine"
"57","Selective preparations","Individually formulated preparations prepared extemp","190202000","Other individually formulated prepared extemp preparations"
"58","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010W0","Solifenacin/tamsulosin"
"59","Dyspepsia and gastro-oesophageal reflux disease","Compound alginates and proprietary indigestion preparations","010102100","Compound alginates and proprietary indigestion preparations"
"60","Oral nutrition","Non-ACBS glucose for diabetic hypo treatment","0913541B0","Liquid OTC glucose for diabetic hypo treatment (0913541)"
"61","Antibacterial drugs","Some other antibacterials","0501070Y0","Daptomycin"
"62","Drugs affecting the immune response","Antiproliferative immunosuppressants","0802010M0","Mycophenolate mofetil"
"63","Oral nutrition","Inherited metabolic disorder - Protein source","0913204E0","Powder 77g protein equivalent per 100g (0913204)"
"64","Hypnotics and anxiolytics","Hypnotics","0401010Y0","Zolpidem tartrate"
"65","Skin cleansers,antiseptics and desloughing agents","Cationic surfactants and soaps","1311030A0","Alkyl sulphate"
"66","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010Q0","Perphenazine"
"67","Drugs acting on the nose","Drugs used in nasal allergy","1202010U0","Mometasone furoate"
"68","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000X0","Eflornithine monohydrate chloride"
"69","Enteral nutrition","Tube feed - Standard (paed)","0914021C0","Tube feed 1 kcal/ml with fibre (0914021)"
"70","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","0107010Z0","Zinc oxide"
"71","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000L0","Benzalkonium chloride"
"72","Analgesics","Antimigraine drugs","0407041AA","Eletriptan"
"73","Antisecretory drugs and mucosal protectants","Proton pump inhibitors","0103050L0","Lansoprazole"
"74","Oral nutrition","ONS - Standard (paed)","0913021E0","Ready to serve 1.5 kcal/ml milkshake (0913021)"
"75","Metabolic disorders","Drugs used in metabolic disorders","0908010P0","Sodium phenylbutyrate"
"76","Hypothalamic and pituitary hormones and anti, oestrogens","Posterior pituitary hormones and antagonists","0605020E0","Desmopressin acetate"
"77","Antiepileptic drugs","Control of epilepsy","0408010U0","Primidone"
"78","Oral nutrition","ONS - Condition specific (paed)","0913093A0","Powder 4.7 kcal/g formula (0913093)"
"79","Fluids and electrolytes","Parent prepn for fluid and electrolyte imb","0902021Y0","Ringers"
"80","Topical corticosteroids","Topical corticosteroids","1304000W0","Hydrocortisone butyrate"
"81","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000N0","Lidocaine"
"82","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010AB","Quetiapine"
"83","Faecal Collectors","Faecal Collectors","2215","Faecal Collectors"
"84","Flanges","Flanges","2355","Flanges"
"85","Drugs used in rheumatic diseases and gout","Corticosteroids","1001022U0","Triamcinolone acetonide"
"86","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010Y0","Rasagiline mesilate"
"87","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010H0","Gluten free breads"
"88","Oral nutrition","Ketogenic diet","0913181B0","Specialist food replacer 3:1 bread (0913181)"
"89","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010I0","Fluphenazine hydrochloride"
"90","Bronchodilators","Theophylline","0301030B0","Aminophylline"
"91","Drugs used in diabetes","Antidiabetic drugs","0601023AZ","Tirzepatide"
"92","Antibacterial drugs","Urinary-tract infections","0501130H0","Methenamine hippurate"
"93","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010AJ","Cariprazine"
"94","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020G0","Flurbiprofen sodium"
"95","Antibacterial drugs","Quinolones","0501120P0","Ofloxacin"
"96","Skin cleansers,antiseptics and desloughing agents","Chlorine and iodine","1311040K0","Iodine compounds"
"97","Oral nutrition","Non-ACBS gluten free food","0913461I0","Specialist food replacer OTC/disc savoury biscuits (0913461)"
"98","Antiviral drugs","Herpesvirus infections","0503021A0","Valaciclovir"
"99","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020T0","Nicotinates"
"100","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050R0","Polynoxylin"
"101","Analgesics","Antimigraine drugs","0407041R0","Rizatriptan"
"102","Metabolic disorders","Drugs used in metabolic disorders","0908010AC","Miglustat"
"103","Lipid-regulating drugs","Lipid-regulating drugs","0212000AF","Lomitapide"
"104","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000U0","Atenolol with calcium channel blocker"
"105","Drugs used in the treatment of obesity","Gastro-intestinal anti-obesity drugs","0405010P0","Orlistat"
"106","Vaccines and antisera","Vaccines and antisera","1404000AK","Influenza H1N1(Whole viron, vero, inactivated)"
"107","Diuretics","Diuretics with potassium","0202080B0","Bendroflumethiazide/potassium"
"108","Hypnotics and anxiolytics","Barbiturates","0401030C0","Amobarbital"
"109","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AI","Moxisylyte hydrochloride"
"110","Oral nutrition","ONS - Impaired GI function specific","0913061B0","Ready to serve 1 kcal/ml milkshake (0913061)"
"111","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000B0","Atropine sulfate"
"112","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000D0","Calamine"
"113","Bronchodilators","Compound bronchodilator preparations","0301040V0","Aclidinium bromide/formoterol"
"114","Drugs used in diabetes","Insulin","0601012W0","Biphasic insulin aspart"
"115","Antiviral drugs","Herpesvirus infections","0503022F0","Letermovir"
"116","Chronic bowel disorders","Drugs affecting immune response","0105030C0","Risankizumab"
"117","Metabolic disorders","Drugs used in metabolic disorders","0908010AP","Elosulfase alfa"
"118","Antihistamines, hyposensitisation and allergic emergencies","Allergic emergencies","0304030G0","Ephedrine hydrochloride"
"119","Oral nutrition","Infant formula - Condition specific","0913109A0","Powder low calcium infant formula (0913109)"
"120","Antibacterial drugs","Quinolones","0501120X0","Levofloxacin"
"121","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","0107010N0","Lidocaine hydrochloride"
"122","Antiviral drugs","HIV infection","0503010E0","Abacavir"
"123","Oral nutrition","Non-ACBS infant formulae","0913501A0","Powder OTC infant formulae (0913501)"
"124","Cytotoxic drugs","Antimetabolites","0801030C0","Cladribine"
"125","Oral nutrition","Flavour additive","0913301A0","Powder flavour additive (0913301)"
"126","Laxatives","Osmotic laxatives","010604000","Other osmotic laxative preparations"
"127","Antiplatelet drugs","Antiplatelet drugs","0209000U0","Ticlopidine hydrochloride"
"128","Antiviral drugs","HIV infection","0503010AF","Etravirine"
"129","Oral nutrition","Non-ACBS gluten free food","0913461J0","Specialist food replacer OTC/disc sweet biscuits (0913461)"
"130","Analgesics","Non-opioid analgesics and compound preparations","0407010A0","Aspirin and papaveretum"
"131","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010W0","Loteprednol etabonate"
"132","Oral nutrition","Inherited metabolic disorder - Protein source","0913205R0","Tablets 62g protein equivalent per 100g (0913205)"
"133","Anti-infective skin preparations","Antiviral preparations","1310030C0","Aciclovir"
"134","Bronchodilators","Compound bronchodilator preparations","0301040Y0","Indacaterol/glycopyrronium"
"135","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050J0","Chlorhexidine gluconate"
"136","Oral nutrition","Inherited metabolic disorder - Protein source","0913205K0","Ready to serve 10g protein equivalent (0913205)"
"137","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000L0","Glycopyrronium bromide"
"138","Systemic nasal decongestants","Systemic nasal decongestants","0310000K0","Phenylpropanolamine hydrochloride"
"139","Skin cleansers,antiseptics and desloughing agents","Oxidisers and dyes","1311060R0","Proflavine"
"140","Analgesics","Opioid analgesics","0407020T0","Pentazocine hydrochloride"
"141","Oral nutrition","Food - Low protein","0913261K0","Specialist food replacer pasta (0913261)"
"142","Drugs for dementia","Dementia","0411000G0","Memantine hydrochloride"
"143","Oral nutrition","Fortifier - Energy and protein","0913142C0","Ready to serve 4.5 - 5 kcal/ml energy (fat) liquid (0913142)"
"144","Hypertension and heart failure","Renin-angiotensin system drugs","0205051W0","Imidapril hydrochloride"
"145","General anaesthesia","Neuromuscular blocking drugs","1501050V0","Vecuronium bromide"
"146","Skin Fillers And Protectives","Skin Fillers And Protectives","2380","Skin Fillers And Protectives"
"147","Antibacterial drugs","Tetracyclines","0501030I0","Doxycycline hyclate"
"148","Hypertension and heart failure","Renin-angiotensin system drugs","0205051J0","Fosinopril sodium"
"149","Drugs acting on the nose","Drugs used in nasal allergy","1202010C0","Beclometasone dipropionate"
"150","Contraceptives","Combined hormonal contraceptives and systems","0703010H0","Combined ethinylestradiol 50mcg"
"151","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042Q0","Histrelin acetate"
"152","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913446B0","Pdr disc/non ACBS GMP protein SfI metabolic cond (0913446)"
"153","Oral nutrition","Inherited metabolic disorder - Protein source","0913205D0","Powder 15g protein equivalent (0913205)"
"154","Anticoagulants and protamine","Protamine sulfate","0208030N0","Protamine sulfate"
"155","Oral nutrition","Non-ACBS pre-thickened drinks","0913421B0","Powder pre-thickened drink (0913421)"
"156","Drugs affecting the immune response","Other immunomodulating drugs","0802040AY","Cladribine (Immunomodulating)"
"157","General anaesthesia","Neuromuscular blocking drugs","1501050K0","Mivacurium chloride"
"158","Emollient and barrier preparations","Emollients","130201000","Other emollient preparations"
"159","Minerals","Phosphorus","0905022S0","Sevelamer"
"160","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010Z0","Rotigotine"
"161","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000J0","Hyoscine hydrobromide"
"162","Antidepressant drugs","Other antidepressant drugs","0403040R0","Oxitriptan"
"163","Metabolic disorders","Drugs used in metabolic disorders","0908010C0","Levocarnitine"
"164","General anaesthesia","Inhalational anaesthetics","1501020R0","Nitrous oxide"
"165","Hypertension and heart failure","Renin-angiotensin system drugs","0205052X0","Valsartan with diuretic"
"166","Anti-infective skin preparations","Antiviral preparations","131003000","Other antiviral preparations"
"167","Hypothalamic and pituitary hormones and anti, oestrogens","Posterior pituitary hormones and antagonists","0605020Y0","Tolvaptan"
"168","Minerals","Calcium and magnesium","0905011B0","Calcium chloride"
"169","Anti-infective skin preparations","Antibacterial preparations","1310012I0","Gentamicin sulfate"
"170","Oral nutrition","Inherited metabolic disorder - Protein source","0913691A0","Powder: 5g protein equivalent (0913691)"
"171","Drugs acting on the ear","Otitis externa","1201010Z0","Triamcinolone acetonide"
"172","Acne and rosacea","Topical preparations for acne","1306010B0","Azelaic acid"
"173","Treatment of glaucoma","Treatment of glaucoma","1106000AG","Timolol and brimonidine"
"174","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010AF","Bilastine"
"175","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010W0","Sitaxentan sodium"
"176","Incontinence Sheath Fixing Strips & Adh","Incontinence Sheath Fixing Strips & Adh","2240","Incontinence Sheath Fixing Strips & Adh"
"177","Fluids and electrolytes","Parent prepn for fluid and electrolyte imb","0902021V0","Sodium lactate"
"178","Antiepileptic drugs","Drugs used in status epilepticus","0408020W0","Midazolam hydrochloride"
"179","Analgesics","Non-opioid analgesics and compound preparations","0407010B0","Aspirin"
"180","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020N0","Tolterodine"
"181","Anticoagulants and protamine","Oral anticoagulants","0208020X0","Dabigatran etexilate"
"182","Drugs used in psychoses and related disorders","Drugs used for mania and hypomania","0402030R0","Asenapine"
"183","Antiepileptic drugs","Control of epilepsy","0408010H0","Lamotrigine"
"184","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040M0","Povidone-iodine"
"185","Analgesics","Opioid analgesics","0407020M0","Methadone hydrochloride"
"186","Laxatives","Stimulant laxatives","0106020V0","Sennosides"
"187","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000P0","Pindolol"
"188","Miscellaneous ophthalmic preparations","Other eye preparations","1108030AB","Idebenone"
"189","Drugs used in neuromuscular disorders","Drugs which enhance neuromuscular transmission","1002010N0","Neostigmine metilsulfate"
"190","Sex Hormones","Male sex hormones and antagonists","0604020M0","Testosterone enantate"
"191","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010N0","Minoxidil"
"192","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010M0","Hydrocortisone acetate"
"193","Oral nutrition","Ketogenic diet","0913181E0","Ready to serve 3:1 dessert (0913181)"
"194","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020AF","Ascorbic acid (Eye)"
"195","Enteral nutrition","Tube feed - Standard (paed)","0914021A0","Tube feed 0.75 kcal/ml with fibre (0914021)"
"196","Cytotoxic drugs","Alkylating drugs","0801010Q0","Lomustine"
"197","Acne and rosacea","Oral preparations for acne","1306020C0","Co-cyprindiol (Cyprote acetate/ethinylestradiol)"
"198","Cytotoxic drugs","Other antineoplastic drugs","0801050S0","Pentostatin"
"199","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020N0","Nedocromil sodium"
"200","Preparations for eczema and psoriasis","Preparations for eczema","1305010AD","Zinc paste, calamine and clioquinol"
"201","Metabolic disorders","Drugs used in metabolic disorders","0908010AA","Agalsidase alfa"
"202","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition (infant)","0913571A0","Pdr disc/non ACBS Protein SfI metabolic cond (inf) (091357)"
"203","Sex hormones and hormone antagonists in malignant disease","Androgens","0803030T0","Testolactone"
"204","Drugs acting on the nose","Drugs used in nasal allergy","1202010W0","Fluticasone furoate"
"205","Miscellaneous topical preparations","Miscellaneous topical preparations","1315000G0","Depigmenting agents"
"206","Drugs for genito-urinary disorders","Drugs used in urological pain","0704030J0","Sodium citrate"
"207","Antiviral drugs","Herpesvirus infections","0503021C0","Aciclovir"
"208","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030D0","Epoetin alfa"
"209","Oral nutrition","Inherited metabolic disorder - Protein source","0913205E0","Powder 20g GMP protein equivalent (0913205)"
"210","Drugs used in substance dependence","Opioid dependence","0410030C0","Methadone hydrochloride"
"211","Vitamins","Vitamin B group","090602300","Other pantothenic acid preparations"
"212","Drugs affecting the immune response","Other immunomodulating drugs","0802040U0","Glatiramer acetate"
"213","Cytotoxic drugs","Other antineoplastic drugs","0801050Y0","Temozolomide"
"214","Sex Hormones","Female sex hormones and their modulators","0604012J0","Hydroxyprogesterone caproate"
"215","Analgesics","Non-opioid analgesics and compound preparations","0407010AB","Paracetamol and phenylephrine hydrochloride"
"216","Diuretics","Thiazides and related diuretics","0202010J0","Cyclopenthiazide"
"217","Oral nutrition","Non-ACBS ONS - paediatric","0913581C0","Ready to serve 1kcal/ml milkshake lower energy (0913581)"
"218","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020A0","Diclofenac sodium"
"219","Selective preparations","Household and other over the counter lines","190205000","Other household and over the counter preparations"
"220","Hypertension and heart failure","Centrally-acting antihypertensive drugs","0205020G0","Guanfacine hydrochloride"
"221","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020Y0","Alendronic acid/colecalciferol"
"222","Cough preparations","Expectorant and demulcent cough preparations","0309020AF","Pseudoephedrine hydrochloride/dextromethorphan hydrobromide"
"223","Laxatives","Peripheral opioid-receptor antagonists","0106060A0","Methylnaltrexone bromide"
"224","Drugs affecting the immune response","Other immunomodulating drugs","0802040X0","Bacillus calmette-guerin (B.C.G.)"
"225","Lubricant Gels","Lubricant Gels","2114","Lubricant Gels"
"226","Alcohol, wines and spirits","Alcohol, wines and spirits","190100000","Other alcohol, wine and spirit preparations"
"227","Erectile Dysfunction Devices","Erectile Dysfunction Devices","2118","Erectile Dysfunction Devices"
"228","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020AB","Solifenacin"
"229","Emollient and barrier preparations","Emollients","1302010N0","Paraffin soft white"
"230","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010L0","Levomepromazine hydrochloride"
"231","Oral nutrition","Vit & min supplement - Condition specific","0913284A0","Powder micronutrient supplement (0913284)"
"232","General anaesthesia","Antimuscarinic drugs","1501030D0","Atropine sulfate"
"233","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020Z0","Trospium chloride"
"234","Antiepileptic drugs","Control of epilepsy","0408010AD","Zonisamide"
"235","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","110801000","Other eye tear/lubricant/astringent preparations"
"236","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030L0","Leflunomide"
"237","Metabolic disorders","Drugs used in metabolic disorders","0908010AF","Nitisinone"
"238","Antibacterial drugs","Cephalosporins and other beta-lactams","0501022B0","Ertapenem sodium"
"239","Antiviral drugs","Influenza","0503040C0","Amantadine hydrochloride"
"240","Drugs for hepatic disorders","Drugs for hepatic encephalopathy","0110010A0","L-Ornithine-L-Aspartate"
"241","Antiviral drugs","HIV infection","0503010AJ","Elvitegravir"
"242","Minerals","Phosphorus","0905022U0","Calcium acetate/magnesium carbonate"
"243","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020AC","Methylprednisolone aceponate"
"244","Antiviral drugs","HIV infection","0503010B0","Nevirapine"
"245","Antibacterial drugs","Cephalosporins and other beta-lactams","0501020AA","Cefprozil"
"246","Antiepileptic drugs","Control of epilepsy","0408010P0","Phenobarbital sodium"
"247","X-Ray contrast media","X-ray contrast media","180300000","Other x-ray contrast media preparations"
"248","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020N0","Epirubicin hydrochloride"
"249","Hypertension and heart failure","Centrally-acting antihypertensive drugs","0205020E0","Clonidine hydrochloride"
"250","Nitrates, calcium-channel blockers & other antianginal drugs","Nitrates","0206010K0","Isosorbide mononitrate"
"251","Oral nutrition","ONS - Standard","0913011M0","Ready to serve 1.5 kcal/ml juice style (0913011)"
"252","Analgesics","Opioid analgesics","0407020A0","Fentanyl"
"253","Antiprotozoal drugs","Trypanocides","0504060B0","Benznidazole"
"254","Oral nutrition","ONS - Impaired GI function specific","0913061C0","RtS 1.5 kcal/ml m/sk higher protein, higher energy (0913061)"
"255","Antidepressant drugs","Monoamine-oxidase inhibitors (maois)","0403020H0","Isocarboxazid"
"256","Oral nutrition","ONS - Standard","0913011L0","RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011)"
"257","Chronic bowel disorders","Drugs affecting immune response","0105030A0","Vedolizumab"
"258","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020X0","Dronedarone hydrochloride"
"259","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020R0","Tacalcitol"
"260","Sex Hormones","Male sex hormones and antagonists","0604020B0","Dutasteride"
"261","Bag Covers","Bag Covers","2325","Bag Covers"
"262","Drugs used in diabetes","Antidiabetic drugs","0601023Z0","Metformin hydrochloride/vildagliptin"
"263","Drugs used in substance dependence","Nicotine dependence","0410020E0","Cytisinicline"
"264","Vaccines and antisera","Vaccines and antisera","1404000W0","Measles, mumps and rubella vaccine"
"265","Enteral nutrition","Tube feed - Condition specific","0914032A0","Tube feed 1 kcal/ml peptide based (0914032)"
"266","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030R0","Anakinra"
"267","Analgesics","Opioid analgesics","0407020K0","Diamorphine hydrochloride (Systemic)"
"268","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020C0","Tars"
"269","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000AB","Nebivolol"
"270","Antidepressant drugs","Selective serotonin re-uptake inhibitors","0403030Q0","Sertraline hydrochloride"
"271","Drugs for dementia","Dementia","0411000F0","Galantamine"
"272","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010C0","Amoxapine"
"273","Oral nutrition","Inherited metabolic disorder - Macronutrient source","0913213A0","Powder single L-amino acid supplement (0913213)"
"274","Analgesics","Opioid analgesics","0407020U0","Pentazocine lactate"
"275","Oral nutrition","Fortifier - Energy and protein","0913141B0","RtS 3.3 - 4 kcal/ml energy with protein liquid (0913141)"
"276","Antiprotozoal drugs","Antimalarials","0504010G0","Chloroquine sulfate"
"277","Sunscreens and camouflagers","Sunscreening preparations","1308010U0","Titanium dioxide"
"278","Anticoagulants and protamine","Parenteral anticoagulants","0208010W0","Tinzaparin sodium"
"279","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913444A0","Powder disc or non ACBS infant formula (0913444)"
"280","Vaccines and antisera","Vaccines and antisera","1404000P0","Rubella"
"281","Nitrates, calcium-channel blockers & other antianginal drugs","Other antianginal drugs","0206030Y0","Ivabradine"
"282","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040G0","Hexetidine"
"283","Nitrates, calcium-channel blockers & other antianginal drugs","Nitrates","0206010A0","Amyl nitrite"
"284","CNS stimulants and drugs used for ADHD","CNS stimulants and drugs used for ADHD","0404000W0","Pitolisant hydrochloride"
"285","Vitamins","Vitamin C","090603100","Other vitamin C (Ascorbic acid) preparations"
"286","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040I0","Hydrogen peroxide"
"287","Contraceptives","Progestogen-only contraceptives","0703022P0","Etonogestrel"
"288","Oral nutrition","ONS - Standard","0913011Y0","RtS  2.4 kcal/ml m/sk high volume, higher protein (0913011)"
"289","Oral nutrition","Food - Low protein","0913261D0","Specialist food replacer confectionery (0913261)"
"290","Metabolic disorders","Drugs used in metabolic disorders","0908010AG","Galsulfase"
"291","Drugs used in substance dependence","Nicotine dependence","0410020A0","Bupropion hydrochloride"
"292","Health supplements","Amino acids and nutritional agents","0911010T0","Taurine"
"293","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803041C0","Exemestane"
"294","Oral nutrition","Inherited metabolic disorder - Protein source","0913201F0","Ready to serve 15g protein equivalent (0913201)"
"295","Cytotoxic drugs","Antimetabolites","0801030AA","Clofarabine"
