"SECTION_DESCR","BNF_CHEMICAL_SUBSTANCE"
"Antispasmodics and other drugs altering gut motility","0102000X0"
"Antispasmodics and other drugs altering gut motility","0102000Y0"
"Antisecretory drugs and mucosal protectants","010300000"
"Antisecretory drugs and mucosal protectants","0103010D0"
"Antisecretory drugs and mucosal protectants","0103010H0"
"Antisecretory drugs and mucosal protectants","0103010N0"
"Antisecretory drugs and mucosal protectants","0103010S0"
"Antisecretory drugs and mucosal protectants","0103010T0"
"Antisecretory drugs and mucosal protectants","0103020P0"
"Antisecretory drugs and mucosal protectants","0103030S0"
"Antisecretory drugs and mucosal protectants","0103030W0"
"Antisecretory drugs and mucosal protectants","0103040M0"
"Antisecretory drugs and mucosal protectants","0103050A0"
"Antisecretory drugs and mucosal protectants","0103050E0"
"Antisecretory drugs and mucosal protectants","0103050L0"
"Antisecretory drugs and mucosal protectants","0103050P0"
"Antisecretory drugs and mucosal protectants","0103050R0"
"Antisecretory drugs and mucosal protectants","0103050T0"
"Antisecretory drugs and mucosal protectants","0103060E0"
"Acute diarrhoea","010401000"
"Acute diarrhoea","0104010H0"
"Acute diarrhoea","0104020D0"
"Acute diarrhoea","0104020H0"
"Acute diarrhoea","0104020L0"
"Acute diarrhoea","0104020N0"
"Acute diarrhoea","0104020P0"
"Acute diarrhoea","0104030A0"
"Acute diarrhoea","0104040A0"
"Chronic bowel disorders","0105010B0"
"Chronic bowel disorders","0105010C0"
"Chronic bowel disorders","0105010D0"
"Chronic bowel disorders","0105010E0"
"Chronic bowel disorders","0105020A0"
"Chronic bowel disorders","0105020B0"
"Chronic bowel disorders","0105020C0"
"Chronic bowel disorders","0105020D0"
"Chronic bowel disorders","0105020E0"
"Chronic bowel disorders","0105020G0"
"Chronic bowel disorders","0105030A0"
"Chronic bowel disorders","0105030B0"
"Chronic bowel disorders","0105030C0"
"Chronic bowel disorders","0105040A0"
"Laxatives","0106010C0"
"Laxatives","0106010E0"
"Laxatives","0106010H0"
"Laxatives","0106010N0"
"Laxatives","010602000"
"Laxatives","0106020B0"
"Laxatives","0106020C0"
"Laxatives","0106020F0"
"Laxatives","0106020I0"
"Laxatives","0106020J0"
"Laxatives","0106020L0"
"Laxatives","0106020M0"
"Laxatives","0106020P0"
"Laxatives","0106020U0"
"Laxatives","0106020V0"
"Laxatives","0106030A0"
"Laxatives","0106030P0"
"Laxatives","010604000"
"Laxatives","0106040F0"
"Laxatives","0106040G0"
"Laxatives","0106040J0"
"Laxatives","0106040L0"
"Laxatives","0106040M0"
"Laxatives","0106040N0"
"Laxatives","0106040R0"
"Laxatives","0106040X0"
"Laxatives","0106050B0"
"Laxatives","0106050M0"
"Laxatives","0106050S0"
"Laxatives","0106050U0"
"Laxatives","0106060A0"
"Laxatives","0106060B0"
"Laxatives","0106060C0"
"Laxatives","0106070A0"
"Laxatives","0106070B0"
"Laxatives","0106070C0"
"Local preparations for anal and rectal disorders","010701000"
"Local preparations for anal and rectal disorders","0107010AA"
"Local preparations for anal and rectal disorders","0107010B0"
"Local preparations for anal and rectal disorders","0107010E0"
"Local preparations for anal and rectal disorders","0107010G0"
"Local preparations for anal and rectal disorders","0107010I0"
"Local preparations for anal and rectal disorders","0107010J0"
"Local preparations for anal and rectal disorders","0107010N0"
"Local preparations for anal and rectal disorders","0107010S0"
"Local preparations for anal and rectal disorders","0107010Z0"
"Local preparations for anal and rectal disorders","0107020B0"
"Local preparations for anal and rectal disorders","0107020F0"
"Local preparations for anal and rectal disorders","0107020J0"
"Local preparations for anal and rectal disorders","0107020P0"
"Local preparations for anal and rectal disorders","0107030P0"
"Local preparations for anal and rectal disorders","0107040A0"
"Local preparations for anal and rectal disorders","0107040B0"
"Stoma care","0108010S0"
"Drugs affecting intestinal secretions","0109010G0"
"Drugs affecting intestinal secretions","0109010H0"
"Drugs affecting intestinal secretions","0109010R0"
"Drugs affecting intestinal secretions","0109010U0"
"Drugs affecting intestinal secretions","0109010V0"
"Drugs affecting intestinal secretions","0109010W0"
"Drugs affecting intestinal secretions","010904000"
"Drugs affecting intestinal secretions","0109040N0"
"Drugs for hepatic disorders","0110010A0"
"Positive inotropic drugs","0201010AA"
"Positive inotropic drugs","0201010D0"
"Positive inotropic drugs","0201010F0"
"Positive inotropic drugs","0201020G0"
"Positive inotropic drugs","0201020M0"
"Diuretics","0202010B0"
"Diuretics","0202010D0"
"Diuretics","0202010F0"
"Diuretics","0202010J0"
"Diuretics","0202010L0"
"Diuretics","0202010P0"
"Diuretics","0202010V0"
"Diuretics","0202010X0"
"Diuretics","0202010Y0"
"Diuretics","0202020D0"
"Diuretics","0202020L0"
"Diuretics","0202020U0"
"Diuretics","0202030C0"
"Diuretics","0202030S0"
"Diuretics","0202030W0"
"Diuretics","0202030X0"
"Diuretics","0202030Y0"
"Diuretics","0202040A0"
"Diuretics","0202040B0"
"Diuretics","0202040C0"
"Diuretics","0202040D0"
"Diuretics","0202040G0"
"Diuretics","0202040H0"
"Diuretics","0202040S0"
"Diuretics","0202040T0"
"Diuretics","0202040U0"
"Diuretics","0202040V0"
"Diuretics","0202050M0"
"Diuretics","0202080B0"
"Diuretics","0202080C0"
"Diuretics","0202080K0"
"Anti-arrhythmic drugs","0203020C0"
"Anti-arrhythmic drugs","0203020D0"
"Anti-arrhythmic drugs","0203020E0"
"Anti-arrhythmic drugs","0203020F0"
"Anti-arrhythmic drugs","0203020G0"
"Anti-arrhythmic drugs","0203020I0"
"Anti-arrhythmic drugs","0203020L0"
"Anti-arrhythmic drugs","0203020P0"
"Anti-arrhythmic drugs","0203020R0"
"Anti-arrhythmic drugs","0203020S0"
"Anti-arrhythmic drugs","0203020T0"
"Anti-arrhythmic drugs","0203020U0"
"Anti-arrhythmic drugs","0203020X0"
"Beta-adrenoceptor blocking drugs","020400010"
"Beta-adrenoceptor blocking drugs","020400030"
"Beta-adrenoceptor blocking drugs","020400040"
"Beta-adrenoceptor blocking drugs","020400060"
"Beta-adrenoceptor blocking drugs","020400080"
"Beta-adrenoceptor blocking drugs","020400090"
"Beta-adrenoceptor blocking drugs","0204000A0"
"Beta-adrenoceptor blocking drugs","0204000AB"
"Beta-adrenoceptor blocking drugs","0204000AC"
"Beta-adrenoceptor blocking drugs","0204000B0"
"Beta-adrenoceptor blocking drugs","0204000C0"
"Beta-adrenoceptor blocking drugs","0204000E0"
"Beta-adrenoceptor blocking drugs","0204000F0"
"Beta-adrenoceptor blocking drugs","0204000G0"
"Beta-adrenoceptor blocking drugs","0204000H0"
"Beta-adrenoceptor blocking drugs","0204000I0"
"Beta-adrenoceptor blocking drugs","0204000K0"
"Beta-adrenoceptor blocking drugs","0204000M0"
"Beta-adrenoceptor blocking drugs","0204000N0"
"Beta-adrenoceptor blocking drugs","0204000P0"
"Beta-adrenoceptor blocking drugs","0204000Q0"
"Beta-adrenoceptor blocking drugs","0204000R0"
"Beta-adrenoceptor blocking drugs","0204000T0"
"Beta-adrenoceptor blocking drugs","0204000U0"
"Beta-adrenoceptor blocking drugs","0204000V0"
"Beta-adrenoceptor blocking drugs","0204000W0"
"Beta-adrenoceptor blocking drugs","0204000X0"
"Beta-adrenoceptor blocking drugs","0204000Y0"
"Hypertension and heart failure","0205010AA"
"Hypertension and heart failure","0205010AB"
"Hypertension and heart failure","0205010AC"
"Hypertension and heart failure","0205010E0"
"Hypertension and heart failure","0205010J0"
"Hypertension and heart failure","0205010N0"
"Hypertension and heart failure","0205010U0"
"Hypertension and heart failure","0205010V0"
"Hypertension and heart failure","0205010W0"
"Hypertension and heart failure","0205010X0"
"Hypertension and heart failure","0205010Y0"
"Hypertension and heart failure","0205010Z0"
"Hypertension and heart failure","0205020E0"
"Hypertension and heart failure","0205020G0"
"Hypertension and heart failure","0205020H0"
"Hypertension and heart failure","0205020M0"
"Hypertension and heart failure","0205030H0"
"Hypertension and heart failure","0205030N0"
"Hypertension and heart failure","0205040D0"
"Hypertension and heart failure","0205040I0"
"Hypertension and heart failure","0205040M0"
"Hypertension and heart failure","0205040P0"
"Hypertension and heart failure","0205040S0"
"Hypertension and heart failure","0205040V0"
"Hypertension and heart failure","0205051AA"
"Hypertension and heart failure","0205051AB"
"Hypertension and heart failure","0205051AC"
"Hypertension and heart failure","0205051C0"
"Hypertension and heart failure","0205051E0"
"Hypertension and heart failure","0205051F0"
"Hypertension and heart failure","0205051G0"
"Hypertension and heart failure","0205051H0"
"Hypertension and heart failure","0205051I0"
"Hypertension and heart failure","0205051J0"
"Hypertension and heart failure","0205051K0"
"Hypertension and heart failure","0205051L0"
"Hypertension and heart failure","0205051M0"
"Hypertension and heart failure","0205051N0"
"Hypertension and heart failure","0205051P0"
"Hypertension and heart failure","0205051Q0"
"Hypertension and heart failure","0205051R0"
"Hypertension and heart failure","0205051S0"
"Hypertension and heart failure","0205051U0"
"Hypertension and heart failure","0205051V0"
"Hypertension and heart failure","0205051W0"
"Hypertension and heart failure","0205051Y0"
"Hypertension and heart failure","0205051Z0"
"Hypertension and heart failure","0205052A0"
"Hypertension and heart failure","0205052AB"
"Hypertension and heart failure","0205052AC"
"Hypertension and heart failure","0205052AD"
"Hypertension and heart failure","0205052AE"
"Hypertension and heart failure","0205052B0"
"Hypertension and heart failure","0205052C0"
"Hypertension and heart failure","0205052I0"
"Hypertension and heart failure","0205052N0"
"Hypertension and heart failure","0205052P0"
"Hypertension and heart failure","0205052Q0"
"Hypertension and heart failure","0205052R0"
"Hypertension and heart failure","0205052V0"
"Hypertension and heart failure","0205052W0"
"Hypertension and heart failure","0205052X0"
"Hypertension and heart failure","0205052Y0"
"Hypertension and heart failure","0205053A0"
"Hypertension and heart failure","0205060R0"
"Hypertension and heart failure","0205080A0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206010A0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206010F0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206010I0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206010K0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206010W0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020A0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020B0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020C0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020F0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020I0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020K0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020L0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020M0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020Q0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020R0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020T0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020W0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206020Z0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206030N0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206030Y0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206030Z0"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AA"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AE"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AF"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AG"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AH"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AI"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AL"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AM"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040AT"
"Nitrates, calcium-channel blockers & other antianginal drugs","0206040X0"
"Sympathomimetics and other vasoconstrictor drugs","0207010D0"
"Sympathomimetics and other vasoconstrictor drugs","0207010F0"
"Sympathomimetics and other vasoconstrictor drugs","0207010G0"
"Sympathomimetics and other vasoconstrictor drugs","0207010Y0"
"Sympathomimetics and other vasoconstrictor drugs","0207020AA"
"Sympathomimetics and other vasoconstrictor drugs","0207020L0"
"Sympathomimetics and other vasoconstrictor drugs","0207020N0"
"Sympathomimetics and other vasoconstrictor drugs","0207020R0"
"Sympathomimetics and other vasoconstrictor drugs","0207020X0"
"Sympathomimetics and other vasoconstrictor drugs","0207020Y0"
"Sympathomimetics and other vasoconstrictor drugs","0207020Z0"
"Sympathomimetics and other vasoconstrictor drugs","0207030A0"
"Anticoagulants and protamine","0208010AA"
"Anticoagulants and protamine","0208010AB"
"Anticoagulants and protamine","0208010AC"
"Anticoagulants and protamine","0208010AD"
"Anticoagulants and protamine","0208010B0"
"Anticoagulants and protamine","0208010C0"
"Anticoagulants and protamine","0208010D0"
"Anticoagulants and protamine","0208010E0"
"Anticoagulants and protamine","0208010K0"
"Anticoagulants and protamine","0208010L0"
"Anticoagulants and protamine","0208010N0"
"Anticoagulants and protamine","0208010P0"
"Anticoagulants and protamine","0208010W0"
"Anticoagulants and protamine","020802000"
"Anticoagulants and protamine","0208020AA"
"Anticoagulants and protamine","0208020H0"
"Anticoagulants and protamine","0208020I0"
"Anticoagulants and protamine","0208020N0"
"Anticoagulants and protamine","0208020S0"
"Anticoagulants and protamine","0208020V0"
"Anticoagulants and protamine","0208020W0"
"Anticoagulants and protamine","0208020X0"
"Anticoagulants and protamine","0208020Y0"
"Anticoagulants and protamine","0208020Z0"
"Anticoagulants and protamine","0208030N0"
"Anticoagulants and protamine","0208040A0"
"Antiplatelet drugs","0209000A0"
"Antiplatelet drugs","0209000C0"
"Antiplatelet drugs","0209000L0"
"Antiplatelet drugs","0209000U0"
"Antiplatelet drugs","0209000V0"
"Antiplatelet drugs","0209000W0"
"Antiplatelet drugs","0209000X0"
"Antiplatelet drugs","0209000Y0"
"Antiplatelet drugs","0209000Z0"
"Stable angina, acute coronary syndromes and fibrinolysis","0210020K0"
"Stable angina, acute coronary syndromes and fibrinolysis","0210020L0"
"Stable angina, acute coronary syndromes and fibrinolysis","0210020U0"
"Stable angina, acute coronary syndromes and fibrinolysis","0210020V0"
"Antifibrinolytic drugs and haemostatics","0211000AA"
"Antifibrinolytic drugs and haemostatics","0211000AB"
"Antifibrinolytic drugs and haemostatics","0211000D0"
"Antifibrinolytic drugs and haemostatics","0211000H0"
"Antifibrinolytic drugs and haemostatics","0211000I0"
"Antifibrinolytic drugs and haemostatics","0211000J0"
"Antifibrinolytic drugs and haemostatics","0211000K0"
"Antifibrinolytic drugs and haemostatics","0211000P0"
"Antifibrinolytic drugs and haemostatics","0211000U0"
"Antifibrinolytic drugs and haemostatics","0211000V0"
"Antifibrinolytic drugs and haemostatics","0211000X0"
"Antifibrinolytic drugs and haemostatics","0211000Y0"
"Antifibrinolytic drugs and haemostatics","0211000Z0"
"Lipid-regulating drugs","021200010"
"Lipid-regulating drugs","0212000A0"
"Lipid-regulating drugs","0212000AA"
"Lipid-regulating drugs","0212000AB"
"Lipid-regulating drugs","0212000AC"
"Lipid-regulating drugs","0212000AD"
"Lipid-regulating drugs","0212000AE"
"Lipid-regulating drugs","0212000AF"
"Lipid-regulating drugs","0212000AG"
"Lipid-regulating drugs","0212000AH"
"Lipid-regulating drugs","0212000AI"
"Lipid-regulating drugs","0212000AJ"
"Lipid-regulating drugs","0212000AK"
"Lipid-regulating drugs","0212000AL"
"Lipid-regulating drugs","0212000AM"
"Lipid-regulating drugs","0212000AN"
"Lipid-regulating drugs","0212000B0"
"Lipid-regulating drugs","0212000C0"
"Lipid-regulating drugs","0212000D0"
"Lipid-regulating drugs","0212000F0"
"Lipid-regulating drugs","0212000J0"
"Lipid-regulating drugs","0212000K0"
"Lipid-regulating drugs","0212000L0"
"Lipid-regulating drugs","0212000M0"
"Lipid-regulating drugs","0212000P0"
"Lipid-regulating drugs","0212000Q0"
"Lipid-regulating drugs","0212000U0"
"Lipid-regulating drugs","0212000V0"
"Lipid-regulating drugs","0212000X0"
"Lipid-regulating drugs","0212000Y0"
"Local sclerosants","0213000F0"
"Local sclerosants","0213000T0"
"Bronchodilators","0301011B0"
"Bronchodilators","0301011E0"
"Bronchodilators","0301011F0"
"Bronchodilators","0301011R0"
"Bronchodilators","0301011U0"
"Bronchodilators","0301011V0"
"Bronchodilators","0301011X0"
"Bronchodilators","0301011Z0"
"Bronchodilators","0301012A0"
"Bronchodilators","0301012F0"
"Bronchodilators","0301012S0"
"Bronchodilators","0301020I0"
"Bronchodilators","0301020P0"
"Bronchodilators","0301020Q0"
"Bronchodilators","0301020R0"
"Bronchodilators","0301020S0"
"Bronchodilators","0301020T0"
"Bronchodilators","0301030B0"
"Bronchodilators","0301030C0"
"Bronchodilators","0301030S0"
"Bronchodilators","0301040AA"
"Bronchodilators","0301040J0"
"Bronchodilators","0301040K0"
"Bronchodilators","0301040M0"
"Bronchodilators","0301040R0"
"Bronchodilators","0301040V0"
"Bronchodilators","0301040W0"
"Bronchodilators","0301040X0"
"Bronchodilators","0301040Y0"
"Corticosteroids (respiratory)","0302000AA"
"Corticosteroids (respiratory)","0302000C0"
"Corticosteroids (respiratory)","0302000K0"
"Corticosteroids (respiratory)","0302000N0"
"Corticosteroids (respiratory)","0302000R0"
"Corticosteroids (respiratory)","0302000U0"
"Corticosteroids (respiratory)","0302000V0"
"Corticosteroids (respiratory)","0302000W0"
"Corticosteroids (respiratory)","0302000X0"
"Corticosteroids (respiratory)","0302000Y0"
"Corticosteroids (respiratory)","0302000Z0"
"Cromoglycate, leukotriene and phosphodesterase type-4 inhib","0303010J0"
"Cromoglycate, leukotriene and phosphodesterase type-4 inhib","0303010Q0"
"Cromoglycate, leukotriene and phosphodesterase type-4 inhib","0303020G0"
"Cromoglycate, leukotriene and phosphodesterase type-4 inhib","0303020Z0"
"Cromoglycate, leukotriene and phosphodesterase type-4 inhib","0303030B0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010A0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AA"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AB"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AC"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AD"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AE"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AF"
"Antihistamines, hyposensitisation and allergic emergencies","0304010AG"
"Antihistamines, hyposensitisation and allergic emergencies","0304010C0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010D0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010E0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010F0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010G0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010H0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010I0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010J0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010K0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010N0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010W0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010X0"
"Antihistamines, hyposensitisation and allergic emergencies","0304010Y0"
"Antihistamines, hyposensitisation and allergic emergencies","0304020AA"
"Antihistamines, hyposensitisation and allergic emergencies","0304020AB"
"Antihistamines, hyposensitisation and allergic emergencies","0304020AC"
"Antihistamines, hyposensitisation and allergic emergencies","0304020AD"
"Antihistamines, hyposensitisation and allergic emergencies","0304020P0"
"Antihistamines, hyposensitisation and allergic emergencies","0304020W0"
"Antihistamines, hyposensitisation and allergic emergencies","0304020X0"
"Antihistamines, hyposensitisation and allergic emergencies","0304020Y0"
"Antihistamines, hyposensitisation and allergic emergencies","0304020Z0"
"Antihistamines, hyposensitisation and allergic emergencies","0304030C0"
"Antihistamines, hyposensitisation and allergic emergencies","0304030F0"
"Antihistamines, hyposensitisation and allergic emergencies","0304030G0"
"Antihistamines, hyposensitisation and allergic emergencies","0304030H0"
"Respiratory stimulants and pulmonary surfactants","0305010W0"
"Mucolytics","0307000C0"
"Mucolytics","0307000J0"
"Mucolytics","0307000K0"
"Mucolytics","0307000L0"
"Mucolytics","0307000P0"
"Mucolytics","0307000Q0"
"Mucolytics","0307000R0"
"Mucolytics","0307000S0"
"Mucolytics","0307000T0"
"Mucolytics","0307000U0"
"Aromatic inhalations","030800000"
"Aromatic inhalations","0308000B0"
"Aromatic inhalations","0308000M0"
"Cough preparations","0309010C0"
"Cough preparations","0309010L0"
"Cough preparations","0309010N0"
"Cough preparations","0309010S0"
"Cough preparations","0309010X0"
"Cough preparations","0309010Y0"
"Cough preparations","030902000"
"Cough preparations","030902020"
"Cough preparations","030902030"
"Cough preparations","030902040"
"Cough preparations","0309020A0"
"Cough preparations","0309020AA"
"Cough preparations","0309020AB"
"Cough preparations","0309020AC"
"Cough preparations","0309020AD"
"Cough preparations","0309020AE"
"Cough preparations","0309020AF"
"Cough preparations","0309020AG"
"Cough preparations","0309020AH"
"Cough preparations","0309020B0"
"Cough preparations","0309020D0"
"Cough preparations","0309020G0"
"Cough preparations","0309020H0"
"Cough preparations","0309020I0"
"Cough preparations","0309020K0"
"Cough preparations","0309020N0"
"Cough preparations","0309020Q0"
"Cough preparations","0309020R0"
"Cough preparations","0309020T0"
"Cough preparations","0309020U0"
"Cough preparations","0309020V0"
"Cough preparations","0309020X0"
"Cough preparations","0309020Z0"
"Systemic nasal decongestants","0310000E0"
"Systemic nasal decongestants","0310000K0"
"Systemic nasal decongestants","0310000M0"
"Systemic nasal decongestants","0310000N0"
"Systemic nasal decongestants","0310000Q0"
"Antifibrotics","0311010B0"
"Hypnotics and anxiolytics","040101000"
"Hypnotics and anxiolytics","0401010AC"
"Hypnotics and anxiolytics","0401010AD"
"Hypnotics and anxiolytics","0401010B0"
"Hypnotics and anxiolytics","0401010C0"
"Hypnotics and anxiolytics","0401010D0"
"Hypnotics and anxiolytics","0401010F0"
"Hypnotics and anxiolytics","0401010I0"
"Hypnotics and anxiolytics","0401010L0"
"Hypnotics and anxiolytics","0401010N0"
"Hypnotics and anxiolytics","0401010P0"
"Hypnotics and anxiolytics","0401010R0"
"Hypnotics and anxiolytics","0401010S0"
"Hypnotics and anxiolytics","0401010T0"
"Hypnotics and anxiolytics","0401010W0"
"Hypnotics and anxiolytics","0401010X0"
"Hypnotics and anxiolytics","0401010Y0"
"Hypnotics and anxiolytics","0401010Z0"
"Hypnotics and anxiolytics","0401020A0"
"Hypnotics and anxiolytics","0401020B0"
"Hypnotics and anxiolytics","0401020E0"
"Hypnotics and anxiolytics","0401020G0"
"Hypnotics and anxiolytics","0401020K0"
"Hypnotics and anxiolytics","0401020P0"
"Hypnotics and anxiolytics","0401020R0"
"Hypnotics and anxiolytics","0401020T0"
"Hypnotics and anxiolytics","0401020V0"
"Hypnotics and anxiolytics","0401030C0"
"Hypnotics and anxiolytics","0401030E0"
"Hypnotics and anxiolytics","0401030H0"
"Hypnotics and anxiolytics","0401030T0"
"Hypnotics and anxiolytics","0401040A0"
"Drugs used in psychoses and related disorders","040201010"
"Drugs used in psychoses and related disorders","040201030"
"Drugs used in psychoses and related disorders","040201050"
"Drugs used in psychoses and related disorders","040201060"
"Drugs used in psychoses and related disorders","0402010A0"
"Drugs used in psychoses and related disorders","0402010AB"
"Drugs used in psychoses and related disorders","0402010AC"
"Drugs used in psychoses and related disorders","0402010AD"
"Drugs used in psychoses and related disorders","0402010AE"
"Drugs used in psychoses and related disorders","0402010AF"
"Drugs used in psychoses and related disorders","0402010AG"
"Drugs used in psychoses and related disorders","0402010AH"
"Drugs used in psychoses and related disorders","0402010AI"
"Drugs used in psychoses and related disorders","0402010AJ"
"Drugs used in psychoses and related disorders","0402010B0"
"Drugs used in psychoses and related disorders","0402010C0"
"Drugs used in psychoses and related disorders","0402010D0"
"Drugs used in psychoses and related disorders","0402010F0"
"Drugs used in psychoses and related disorders","0402010G0"
"Drugs used in psychoses and related disorders","0402010H0"
"Drugs used in psychoses and related disorders","0402010I0"
"Drugs used in psychoses and related disorders","0402010J0"
"Drugs used in psychoses and related disorders","0402010K0"
"Drugs used in psychoses and related disorders","0402010L0"
"Drugs used in psychoses and related disorders","0402010M0"
"Drugs used in psychoses and related disorders","0402010N0"
"Drugs used in psychoses and related disorders","0402010P0"
"Drugs used in psychoses and related disorders","0402010Q0"
"Drugs used in psychoses and related disorders","0402010R0"
"Drugs used in psychoses and related disorders","0402010S0"
"Drugs used in psychoses and related disorders","0402010T0"
"Drugs used in psychoses and related disorders","0402010U0"
"Drugs used in psychoses and related disorders","0402010W0"
"Drugs used in psychoses and related disorders","0402010X0"
"Drugs used in psychoses and related disorders","0402020AA"
"Drugs used in psychoses and related disorders","0402020AB"
"Drugs used in psychoses and related disorders","0402020AC"
"Drugs used in psychoses and related disorders","0402020AD"
"Drugs used in psychoses and related disorders","0402020G0"
"Drugs used in psychoses and related disorders","0402020L0"
"Drugs used in psychoses and related disorders","0402020T0"
"Drugs used in psychoses and related disorders","0402020V0"
"Drugs used in psychoses and related disorders","0402020Z0"
"Drugs used in psychoses and related disorders","0402030K0"
"Drugs used in psychoses and related disorders","0402030P0"
"Drugs used in psychoses and related disorders","0402030Q0"
"Drugs used in psychoses and related disorders","0402030R0"
"Antidepressant drugs","0403010B0"
"Antidepressant drugs","0403010C0"
"Antidepressant drugs","0403010F0"
"Antidepressant drugs","0403010J0"
"Antidepressant drugs","0403010L0"
"Antidepressant drugs","0403010N0"
"Antidepressant drugs","0403010R0"
"Antidepressant drugs","0403010S0"
"Antidepressant drugs","0403010T0"
"Antidepressant drugs","0403010V0"
"Antidepressant drugs","0403010X0"
"Antidepressant drugs","0403010Y0"
